Time,MarketID,Side,BTC_Price,Net,Fluc,Reason,Multiplier,Prob,Amount
2026-03-04 00:04:33,1483745,YES,67934.02,212.0100000000093,213.97000000000116,Condition_2_15M_BREAK_UP (Cur:67934.02 > Max:67822.55 + 101.90),1.0,0.7500,2.00
2026-03-04 00:24:26,1483848,YES,68740.0,268.0,324.75,Condition_2_15M_BREAK_UP (Cur:68740.00 > Max:68626.02 + 103.11),1.0,0.8800,2.00
2026-03-04 00:38:13,1483913,NO,67904.36,-924.0699999999924,924.0699999999924,Condition_1_15M_FLUC (924.07 > 0.8*Max(1028.88) & > 95.0),1.0,0.9900,2.00
2026-03-04 01:53:12,1485278,YES,68396.02,246.0500000000029,255.13999999999942,Condition_2_15M_BREAK_UP (Cur:68396.02 > Max:68290.19 + 102.59),1.0,0.9100,2.00
2026-03-04 02:25:19,1485610,YES,68565.36,472.74000000000524,472.74000000000524,Condition_2_15M_BREAK_UP (Cur:68565.36 > Max:68459.92 + 102.85),1.0,0.9970,2.00
2026-03-04 02:32:55,1485648,YES,68736.62,262.58000000000175,269.2700000000041,Condition_2_15M_BREAK_UP (Cur:68736.62 > Max:68621.80 + 103.10),1.0,0.8300,2.00
2026-03-04 04:12:13,1486136,NO,68288.0,-150.66999999999825,156.42999999999302,Condition_2_15M_BREAK_DOWN (Cur:68288.00 < Min:68361.49 - 68.29),1.0,0.9500,2.00
2026-03-04 04:52:34,1486453,NO,68089.97,-382.4400000000023,384.0100000000093,Condition_1_15M_FLUC (382.44 > 0.8*Max(460.40) & > 95.0),1.0,0.9800,2.00
2026-03-04 05:03:40,1486490,NO,68001.66,-265.91999999999825,273.74000000000524,Condition_2_15M_BREAK_DOWN (Cur:68001.66 < Min:68086.99 - 68.00),1.0,0.8700,2.00
2026-03-04 06:02:37,1486813,YES,68233.98,216.0,222.02000000000407,Condition_2_15M_BREAK_UP (Cur:68233.98 > Max:68114.00 + 102.35),1.0,0.9000,2.00
2026-03-04 07:11:41,1487117,YES,68613.36,294.3399999999965,324.9799999999959,Condition_2_15M_BREAK_UP (Cur:68613.36 > Max:68444.00 + 102.92),1.0,0.9900,2.00
2026-03-04 08:09:12,1487622,NO,68170.72,-165.27000000000407,165.27999999999884,Condition_2_15M_BREAK_DOWN (Cur:68170.72 < Min:68241.79 - 68.17),1.0,0.9400,2.00
2026-03-04 08:34:50,1487857,NO,68025.9,-268.5100000000093,276.4100000000035,Condition_1_15M_FLUC (268.51 > 0.8*Max(318.91) & > 95.0),1.0,0.9300,2.00
2026-03-04 08:49:46,1487874,YES,68225.64,256.4499999999971,256.4499999999971,Condition_1_15M_FLUC (256.45 > 0.8*Max(318.91) & > 95.0),1.0,0.9400,2.00
2026-03-04 09:32:10,1488102,YES,68460.38,214.93000000000757,263.3600000000006,Condition_2_15M_BREAK_UP (Cur:68460.38 > Max:68345.14 + 102.69),1.0,0.7800,2.00
2026-03-04 10:16:41,1488329,NO,68103.15,-129.99000000000524,132.00999999999476,Condition_2_15M_BREAK_DOWN (Cur:68103.15 < Min:68180.90 - 68.10),1.0,0.7300,2.00
2026-03-04 10:36:19,1488349,NO,67976.78,-102.49000000000524,125.02000000000407,Condition_2_15M_BREAK_DOWN (Cur:67976.78 < Min:68051.84 - 67.98),1.0,0.7200,2.00
2026-03-04 11:28:37,1488595,NO,68017.39,-248.80999999999767,251.6999999999971,Condition_1_15M_FLUC (248.81 > 0.8*Max(299.95) & > 95.0),1.0,0.9900,2.00
2026-03-04 11:31:30,1488607,NO,67879.24,-111.50999999999476,116.02999999999884,Condition_2_15M_BREAK_DOWN (Cur:67879.24 < Min:67951.13 - 67.88),1.0,0.6400,2.00
2026-03-04 13:41:48,1489296,YES,68081.59,257.81999999999243,267.50999999999476,Condition_2_15M_BREAK_UP (Cur:68081.59 > Max:67950.53 + 102.12),1.0,0.9900,2.00
2026-03-04 14:34:59,1490001,YES,68498.99,380.7700000000041,381.77999999999884,Condition_2_15M_BREAK_UP (Cur:68498.99 > Max:68371.47 + 102.75),1.0,0.9700,2.00
2026-03-04 15:43:36,1490209,YES,68879.01,112.2899999999936,126.63000000000466,Condition_2_15M_BREAK_UP (Cur:68879.01 > Max:68771.11 + 103.32),1.0,0.9800,2.00
2026-03-04 15:47:00,1490225,YES,69080.87,120.14999999999418,173.08000000000175,Condition_2_15M_BREAK_UP (Cur:69080.87 > Max:68975.60 + 103.62),1.0,0.7300,2.00
2026-03-04 16:41:39,1490438,YES,69828.53,513.3199999999924,530.2999999999884,Condition_2_15M_BREAK_UP (Cur:69828.53 > Max:69719.17 + 104.74),1.0,0.9900,2.00
2026-03-04 16:46:10,1490452,YES,70080.31,188.80999999999767,188.80999999999767,Condition_2_15M_BREAK_UP (Cur:70080.31 > Max:69919.99 + 105.12),1.0,0.8100,2.00
2026-03-04 17:17:41,1490657,YES,71400.0,311.99000000000524,312.2700000000041,Condition_2_15M_BREAK_UP (Cur:71400.00 > Max:71286.09 + 107.10),1.0,0.8000,2.00
