Time,MarketID,Side,BTC_Price,Net,Fluc,Reason,Multiplier,Prob,Amount
2026-03-01 20:43:04,1465713,YES,66510.02,174.02000000000407,174.02000000000407,Condition_1_STRONG_FLUC (174.02 > 0.8*Max(189.58) & > 45.0),1.0,0.9900,3.00
2026-03-01 20:47:24,1465720,NO,66345.27,-142.17999999999302,159.72999999999593,Condition_1_HARD_ABS (142.18 > 140.0),1.0,0.9700,3.00
2026-03-01 21:02:32,1465764,YES,66368.6,68.18000000000757,73.61000000000058,Condition_4_FLUC_BREAK (Net:68.18 > 0.8*Prev(7.37) & > Avg/2(55.15) & > 0.1%(66.37)),1.0,0.9200,3.00
2026-03-01 21:08:31,1465777,YES,66420.21,140.29000000000815,140.29000000000815,Condition_1_HARD_ABS (140.29 > 140.0),1.0,0.9900,3.00
2026-03-01 21:18:04,1465945,YES,66399.2,79.50999999999476,96.55000000000291,Condition_4_FLUC_BREAK (Net:79.51 > 0.8*Prev(68.47) & > Avg/2(52.28) & > 0.1%(66.40)),1.0,0.9100,3.00
2026-03-01 21:20:35,1465947,NO,66271.43,-74.59000000001106,83.02000000000407,Condition_4_FLUC_BREAK (Net:74.59 > 0.8*Prev(22.68) & > Avg/2(47.74) & > 0.1%(66.27)),1.0,0.7700,3.00
2026-03-01 21:26:56,1465964,YES,66385.0,147.69000000000233,153.35000000000582,Condition_1_HARD_ABS (147.69 > 140.0),1.0,0.9500,3.00
2026-03-01 21:31:25,1465983,NO,66257.76,-68.63000000000466,86.50999999999476,Condition_4_FLUC_BREAK (Net:68.63 > 0.8*Prev(30.80) & > Avg/2(54.06) & > 0.1%(66.26)),1.0,0.8200,3.00
2026-03-01 21:40:35,1466019,YES,66365.77,71.63999999999942,76.66999999999825,Condition_4_FLUC_BREAK (Net:71.64 > 0.8*Prev(14.48) & > Avg/2(58.66) & > 0.1%(66.37)),1.0,0.7900,3.00
2026-03-01 21:51:00,1466032,YES,66453.31,69.27999999999884,69.69000000000233,Condition_4_FLUC_BREAK (Net:69.28 > 0.8*Prev(5.91) & > Avg/2(48.28) & > 0.1%(66.45)),1.0,0.8300,3.00
2026-03-01 21:55:38,1466129,NO,67003.78,-158.24000000000524,158.24000000000524,Condition_1_HARD_ABS (158.24 > 140.0),1.0,0.8300,3.00
2026-03-01 22:00:54,1466142,YES,67094.88,149.40000000000873,149.40000000000873,Condition_1_HARD_ABS (149.40 > 140.0),1.0,0.7000,3.00
2026-03-01 22:05:54,1466152,YES,67133.27,143.27000000000407,152.8000000000029,Condition_1_HARD_ABS (143.27 > 140.0),1.0,0.7800,3.00
2026-03-01 22:13:12,1466157,YES,67163.64,96.66999999999825,136.3000000000029,Condition_3_REVERSAL,1.0,0.8500,3.00
